BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0          10.111.40.121                          0 13979 64901 64860 64861 64873 64872 53741 7018 ?
 *   4.36.201.0/24    10.111.40.121                          0 13979 65001 64820 64814 65250 ?
 *   8.8.134.15/32    10.111.40.121                          0 13979 65001 64820 64232 64230 64229 ?
 *   9.93.213.133/32  10.111.40.121                          0 13979 65001 64820 64232 64230 64229 ?
 *>  10.0.0.0         10.111.40.121                          0 13979 64000 i
 *   10.5.1.0/24      10.111.40.121                          0 13979 64632 ?
 *   10.5.5.0/24      10.111.40.121                          0 13979 64000 64195 ?
 *   10.5.239.96/28   10.111.40.121                          0 13979 64901 64860 65000 13879 13879 i
 *   10.6.0.5/32      10.111.40.121                          0 13979 64383 ?
 *   10.6.0.6/32      10.111.40.121                          0 13979 64383 ?
 *   10.6.0.7/32      10.111.40.121                          0 13979 64383 ?
 *   10.6.0.8/32      10.111.40.121                          0 13979 64383 ?
 *   10.6.0.9/32      10.111.40.121                          0 13979 64383 ?
 *   10.6.0.10/32     10.111.40.121                          0 13979 64383 ?
 *   10.6.0.19/32     10.111.40.121                          0 13979 64254 ?
 *   10.6.0.21/32     10.111.40.121                          0 13979 64288 ?
 *   10.6.0.22/32     10.111.40.121                          0 13979 64250 ?
 *   10.6.0.23/32     10.111.40.121                          0 13979 64327 ?
 *   10.6.0.24/32     10.111.40.121                          0 13979 64262 ?
 *   10.6.0.25/32     10.111.40.121                          0 13979 64252 ?
 *   10.6.0.26/32     10.111.40.121                          0 13979 64251 ?
 *   10.6.0.27/32     10.111.40.121                          0 13979 64418 ?
 *   10.6.0.28/32     10.111.40.121                          0 13979 64299 ?
 *   10.6.0.29/32     10.111.40.121                          0 13979 64521 ?
 *   10.6.0.30/32     10.111.40.121                          0 13979 64340 ?
 *   10.6.0.31/32     10.111.40.121                          0 13979 64323 ?
 *   10.6.0.37/32     10.111.40.121                          0 13979 64329 ?
 *   10.6.0.38/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.39/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.48/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.49/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.50/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.51/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.53/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.54/32     10.111.40.121                          0 13979 64000 64840 64078 ?
 *   10.6.0.55/32     10.111.40.121                          0 13979 64263 ?
 *   10.6.0.56/32     10.111.40.121                          0 13979 64267 ?
 *   10.6.0.57/32     10.111.40.121                          0 13979 64549 ?
 *   10.6.0.58/32     10.111.40.121                          0 13979 64439 ?
 *   10.6.0.59/32     10.111.40.121                          0 13979 64523 ?
 *   10.6.0.61/32     10.111.40.121                          0 13979 64532 ?
 *   10.6.0.63/32     10.111.40.121                          0 13979 65390 ?
 *   10.6.0.64/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.65/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.66/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.67/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.68/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.69/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.70/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.71/32     10.111.40.121                          0 13979 64459 ?
 *   10.6.0.72/32     10.111.40.121                          0 13979 64333 ?
 *   10.6.0.73/32     10.111.40.121                          0 13979 64289 ?
 *   10.6.0.74/32     10.111.40.121                          0 13979 64298 ?
 *   10.6.0.75/32     10.111.40.121                          0 13979 64284 ?
 *   10.6.0.76/32     10.111.40.121                          0 13979 64438 ?
 *   10.6.0.77/32     10.111.40.121                          0 13979 64332 ?
 *   10.6.0.78/32     10.111.40.121                          0 13979 64285 ?
 *   10.6.0.79/32     10.111.40.121                          0 13979 64283 ?
 *   10.6.0.80/32     10.111.40.121                          0 13979 64266 ?
 *   10.6.0.82/32     10.111.40.121                          0 13979 64278 ?
 *   10.6.0.83/32     10.111.40.121                          0 13979 64271 ?
 *   10.6.0.84/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.85/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.87/32     10.111.40.121                          0 13979 64291 ?
 *   10.6.0.88/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.89/32     10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.90/32     10.111.40.121                          0 13979 64270 ?
 *   10.6.0.94/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.95/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.96/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.97/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.98/32     10.111.40.121                          0 13979 64238 ?
 *   10.6.0.100/32    10.111.40.121                          0 13979 65512 ?
 *   10.6.0.101/32    10.111.40.121                          0 13979 65529 ?
 *   10.6.0.102/32    10.111.40.121                          0 13979 64322 ?
 *   10.6.0.103/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.0.105/32    10.111.40.121                          0 13979 65528 ?
 *   10.6.0.106/32    10.111.40.121                          0 13979 64000 64195 ?
 *   10.6.0.110/32    10.111.40.121                          0 13979 64328 ?
 *   10.6.0.111/32    10.111.40.121                          0 13979 64368 ?
 *   10.6.0.112/32    10.111.40.121                          0 13979 64582 ?
 *   10.6.0.119/32    10.111.40.121                          0 13979 64191 ?
 *   10.6.0.120/32    10.111.40.121                          0 13979 64585 ?
 *   10.6.0.121/32    10.111.40.121                          0 13979 64505 ?
 *   10.6.0.123/32    10.111.40.121                          0 13979 64004 ?
 *   10.6.0.124/32    10.111.40.121                          0 13979 65401 ?
 *   10.6.0.126/32    10.111.40.121                          0 13979 64534 ?
 *   10.6.0.127/32    10.111.40.121                          0 13979 65188 ?
 *   10.6.0.129/32    10.111.40.121                          0 13979 64577 ?
 *   10.6.0.130/32    10.111.40.121                          0 13979 64555 ?
 *   10.6.0.132/32    10.111.40.121                          0 13979 64664 ?
 *   10.6.0.133/32    10.111.40.121                          0 13979 65431 ?
 *   10.6.0.141/32    10.111.40.121                          0 13979 65018 ?
 *   10.6.0.142/32    10.111.40.121                          0 13979 64032 ?
 *   10.6.0.143/32    10.111.40.121                          0 13979 64026 ?
 *   10.6.0.145/32    10.111.40.121                          0 13979 65131 ?
 *   10.6.0.146/32    10.111.40.121                          0 13979 64383 ?
 *   10.6.0.147/32    10.111.40.121                          0 13979 64501 ?
 *   10.6.0.148/32    10.111.40.121                          0 13979 64522 ?
 *   10.6.0.149/32    10.111.40.121                          0 13979 64548 ?
 *   10.6.0.150/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.151/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.152/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.153/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.154/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.155/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.156/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.157/32    10.111.40.121                          0 13979 64310 ?
