BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.6.12.47/32    172.31.253.245                         0 13979 65230 64945 i
 *>  10.6.12.48/32    172.31.253.245                         0 13979 65230 64946 i
 *>  10.47.186.0/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.4/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.8/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.12/30  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.16/30  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.20/32  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.21/32  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.48/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.64/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.80/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.96/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.112/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.186.176/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.186.192/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.187.0/27   172.31.253.245                         0 13979 64400 i
 *>  10.47.187.128/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.187.144/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.187.160/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.187.192/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.187.208/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.222.0/30   172.31.253.245                         0 13979 64401 i
 *>  10.47.222.4/30   172.31.253.245                         0 13979 64401 i
 *>  10.47.222.8/30   172.31.253.245                         0 13979 64401 i
 *>  10.47.222.12/30  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.16/30  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.20/32  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.21/32  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.48/28  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.64/28  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.80/28  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.96/28  172.31.253.245                         0 13979 64401 i
 *>  10.47.222.112/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.222.176/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.222.192/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.223.128/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.223.144/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.223.160/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.223.192/28 172.31.253.245                         0 13979 64401 i
 *>  10.47.223.208/28 172.31.253.245                         0 13979 64401 i
 *>  10.48.178.21/32  172.31.253.245                         0 13979 21302 65301 ?
 *>  10.48.178.22/32  172.31.253.245                         0 13979 21302 65301 ?
 *>  10.48.178.33/32  172.31.253.245                         0 13979 21302 65301 ?
 *>  10.48.178.36/30  172.31.253.245                         0 13979 21302 65301 ?
 *>  10.48.200.0/25   172.31.253.245                         0 13979 64400 i
 *>  10.48.200.128/25 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.0/25   172.31.253.245                         0 13979 64400 i
 *>  10.48.201.128/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.144/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.160/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.176/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.192/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.208/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.224/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.201.240/28 172.31.253.245                         0 13979 64400 i
 *>  10.48.202.0/25   172.31.253.245                         0 13979 64401 i
 *>  10.48.202.128/25 172.31.253.245                         0 13979 64401 i
 *>  10.48.203.0/25   172.31.253.245                         0 13979 64401 i
 *>  10.48.203.128/28 172.31.253.245                         0 13979 64401 i
 *>  10.48.203.160/27 172.31.253.245                         0 13979 64401 i
 *>  10.48.203.192/28 172.31.253.245                         0 13979 64401 i
 *>  10.48.203.208/28 172.31.253.245                         0 13979 64401 i
 *>  10.48.203.224/27 172.31.253.245                         0 13979 64401 i
 *>  10.48.235.166/31 172.31.253.245                         0 13979 64901 ?
 *>  10.82.0.0/25     172.31.253.245                         0 13979 64901 ?
 *>  10.82.0.128/25   172.31.253.245                         0 13979 64901 ?
 *>  10.82.1.0/25     172.31.253.245                         0 13979 64901 ?
 *>  10.82.1.192/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.1.224/27   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.20/32    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.21/32    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.32/28    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.48/28    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.64/28    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.80/28    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.96/28    172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.112/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.128/27   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.160/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.176/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.192/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.3.208/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.40/30    172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.44/30    172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.48/30    172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.52/30    172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.128/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.144/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.160/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.176/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.4.192/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.5.128/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.5.144/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.5.160/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.5.176/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.5.192/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.6.128/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.6.144/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.6.160/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.6.176/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.6.192/28   172.31.253.245                         0 13979 64901 ?
 *>  10.82.8.0/25     172.31.253.245                         0 13979 65230 ?
 *>  10.82.8.128/25   172.31.253.245                         0 13979 65230 ?
 *>  10.82.9.0/25     172.31.253.245                         0 13979 65230 ?
 *>  10.82.9.180/30   172.31.253.245                         0 13979 65230 ?
 *>  10.82.9.192/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.9.224/27   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.20/32   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.21/32   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.32/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.48/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.64/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.80/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.96/28   172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.112/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.128/27  172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.160/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.176/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.192/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.10.208/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.40/30   172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.44/30   172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.48/30   172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.52/30   172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.128/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.144/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.160/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.176/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.11.192/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.12.128/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.12.144/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.12.160/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.12.176/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.12.192/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.13.128/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.13.144/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.13.160/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.13.176/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.13.192/28  172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.4/31    172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.6/31    172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.8/31    172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.10/31   172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.12/31   172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.14/31   172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.16/31   172.31.253.245                         0 13979 65230 ?
 *>  10.82.14.18/31   172.31.253.245                         0 13979 65230 ?
 *>  10.82.16.0/25    172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.16.131/32  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.16.132/32  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.16.160/28  172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.17.0/25    172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.17.128/25  172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.18.0/25    172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.20.0/31    172.31.253.245                         0 13979 65181 ?
 *>  10.82.20.2/31    172.31.253.245                         0 13979 65181 ?
 *>  10.82.20.4/31    172.31.253.245                         0 13979 65181 ?
 *>  10.82.20.6/31    172.31.253.245                         0 13979 65181 ?
 *>  10.82.20.8/31    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.10/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.12/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.14/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.16/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.18/31   172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.20.20/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.22/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.24/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.26/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.34/31   172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.36/31   172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.38/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.40/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.42/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.44/31   172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.20.152/30  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.156/30  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.160/30  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.164/30  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.20.192/30  172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.21.0/29    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.21.8/29    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.22.0/24    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.23.2/32    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.23.3/32    172.31.253.245                         0 13979 65181 65182 ?
 *>  10.82.23.13/32   172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.23.14/32   172.31.253.245                         0 13979 65181 65182 65183 ?
 *>  10.82.23.15/32   172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.23.16/32   172.31.253.245                         0 13979 65181 65182 65184 ?
 *>  10.82.48.0/25    172.31.253.245                         0 13979 21302 65301 ?
 *>  10.82.48.128/28  172.31.253.245                         0 13979 21302 65301 ?
