
BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0          10.111.40.121                          0 13979 64901 64860 64861 64873 64872 53741 7018 ?
 *>  10.0.0.0         10.111.40.121                          0 13979 64000 i
 *>  10.6.0.84/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.85/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.94/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.95/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.96/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.97/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.98/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.0.119/32    10.82.28.1                             0 65179 64950 64191 ?
 *>  10.6.0.167/32    10.82.28.1                             0 65179 64950 64239 ?
 *>  10.6.0.188/32    10.82.28.1                             0 65179 64951 65000 ?
 *>  10.6.0.203/32    10.82.28.1                             0 65179 64950 64337 ?
 *>  10.6.0.250/32    10.82.28.3                             0 65179 64951 64756 ?
 *>  10.6.1.26/32     10.82.28.1                             0 65179 64950 64087 ?
 *>  10.6.1.61/32     10.82.28.1                             0 65179 64950 ?
 *>  10.6.1.165/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.1.189/32    10.82.28.1                             0 65179 64950 64484 ?
 *>  10.6.1.217/32    10.82.28.1                             0 65179 64950 64030 ?
 *>  10.6.1.227/32    10.82.28.3                             0 65179 64951 64258 ?
 *>  10.6.1.228/32    10.82.28.1                             0 65179 64950 64250 ?
 *>  10.6.4.63/32     10.82.28.3                             0 65179 64951 64041 ?
 *>  10.6.12.5/32     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.12.6/32     10.82.28.1                             0 65179 64950 64239 ?
 *>  10.6.12.7/32     10.82.28.3                             0 65179 64951 64041 ?
 *>  10.6.12.8/32     10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.11/32    10.82.28.1                             0 65179 64950 i
 *>  10.6.12.12/32    10.82.28.3                             0 65179 64951 i
 *>  10.6.12.13/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.14/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.17/32    10.82.28.1                             0 65179 64950 64240 ?
 *>  10.6.12.18/32    10.82.28.3                             0 65179 64951 64756 ?
 *>  10.6.12.19/32    10.82.28.1                             0 65179 64950 64105 ?
 *>  10.6.12.20/32    10.82.28.1                             0 65179 64950 64132 ?
 *>  10.6.12.21/32    10.82.28.1                             0 65179 64951 ?
 *>  10.6.12.24/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.25/32    10.82.28.1                             0 65179 64950 65030 ?
 *>  10.6.12.26/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.28/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.29/32    10.82.28.3                             0 65179 64951 65109 ?
 *>  10.6.12.30/32    10.82.28.1                             0 65179 64950 64147 ?
 *>  10.6.12.32/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.33/32    10.82.28.1                             0 65179 64950 64030 ?
 *>  10.6.12.34/32    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.6.12.35/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.41/32    10.82.28.1                             0 65179 64950 64387 ?
 *>  10.6.12.42/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.44/32    10.82.28.1                             0 65179 64950 64250 ?
 *>  10.6.12.45/32    10.82.28.1                             0 65179 64950 64449 ?
 *>  10.6.12.46/32    10.82.28.1                             0 65179 64950 64144 ?
 *>  10.6.12.47/32    172.31.253.245                         0 13979 65230 64945 i
 *>  10.6.12.48/32    172.31.253.245                         0 13979 65230 64946 i
 *>  10.6.12.49/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.51/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.52/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.53/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.54/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.57/32    10.82.28.3                             0 65179 64950 ?
 *>  10.6.12.58/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.60/32    10.82.28.3                             0 65179 64950 ?
 *>  10.6.12.61/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.62/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.63/32    10.82.28.1                             0 65179 64950 64191 ?
 *>  10.6.12.64/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.65/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.67/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.68/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.72/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.76/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.78/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.81/32    10.82.28.1                             0 65179 64950 64337 ?
 *>  10.6.12.83/32    10.82.28.1                             0 65179 64950 ?
 *>  10.6.12.84/32    10.82.28.3                             0 65179 64950 64484 ?
 *>  10.6.12.88/32    10.82.28.1                             0 65179 64951 65000 ?
 *>  10.6.12.90/32    10.82.28.3                             0 65179 64951 64130 ?
 *>  10.6.12.91/32    10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.92/32    10.82.28.3                             0 65179 64951 64258 ?
 *>  10.6.12.93/32    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.6.12.95/32    10.82.28.3                             0 65179 64950 64087 ?
 *>  10.6.12.102/32   10.82.28.3                             0 65179 64951 ?
 *>  10.6.12.104/32   10.82.28.3                             0 65179 64951 ?
 *>  10.6.67.224/28   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.67.240/28   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.68.0/28     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.68.16/28    10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.69.208/28   10.82.28.1                             0 65179 64950 64191 ?
 *>  10.6.71.160/27   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.6.72.112/28   10.82.28.1                             0 65179 64950 64387 ?
 *>  10.6.75.64/28    10.82.28.3                             0 65179 64951 64756 ?
 *>  10.6.75.128/28   10.82.28.1                             0 65179 64950 ?
 *>  10.6.76.80/28    10.82.28.1                             0 65179 64950 64087 ?
 *>  10.6.76.176/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.78.112/28   10.82.28.1                             0 65179 64950 ?
 *>  10.6.79.128/28   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.6.82.144/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.82.160/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.84.16/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.84.32/28    10.82.28.1                             0 65179 64950 ?
 *>  10.6.86.112/28   10.82.28.3                             0 65179 64950 ?
 *>  10.6.87.16/28    10.82.28.1                             0 65179 64950 64484 ?
 *>  10.6.88.128/28   10.82.28.1                             0 65179 64950 64030 ?
 *>  10.6.89.16/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.89.32/28    10.82.28.3                             0 65179 64951 64258 ?
 *>  10.6.89.48/28    10.82.28.1                             0 65179 64950 64250 ?
 *>  10.6.89.64/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.90.64/28    10.82.28.3                             0 65179 64951 64041 ?
 *>  10.7.2.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.3.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.4.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.6.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.7.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.8.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.9.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.10.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.12.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.13.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.14.0/23     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.16.0/24     10.82.28.1                             0 65179 64950 64238 ?
